,rank,Video,Video views,Likes,Dislikes,Category,published,Category_Autos & Vehicles,Category_Comedy,Category_Education,Category_Entertainment,Category_Film & Animation,Category_Gaming,Category_Howto & Style,Category_Music,Category_News & Politics,Category_Nonprofits & Activism,Category_People & Blogs,Category_Pets & Animals,Category_Science & Technology,Category_Sports,Category_Travel & Events
115,116,Bird learns how life works,"4,916,042","74,420",703,Gaming,2015,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
116,117,Kid at Minecon 2016 asks what we all wish we could answer,"1,669,272","23,510",502,People & Blogs,2016,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
117,118,Cazzu - Miedo,"2,761,300","289,010","7,719",Music,2020,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
118,119,"Gazo, Tiakola - CARTIER (Visualizer)","1,366,275","34,494",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
119,120,UWAIE,"8,114,376","122,955",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
120,121,Trueno - REAL GANGSTA LOVE (Official Video),"15,985,735","263,086",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
121,122,Jim Carrey THE FUNNIEST video,"8,322,488","6,216","11,521",Comedy,2007,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
122,123,Fedez - PRIMA DI OGNI COSA (Teaser),"885,149","29,689","2,992",Music,2018,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
123,124,"Lil Nas X, Cardi B - Rodeo (Official Audio)","1,783,881","254,185","8,177",Music,2019,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
124,125,Conan Gray - The Story,"252,272","72,135",195,Music,2020,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
125,126,Doug Fernandez gives up,"2,002,491","19,461",185,People & Blogs,2017,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
126,127,Ysrael Barajas - GPI 2 (Video Oficial),"983,919","20,719",,Music,2024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
127,128,"Gazo, Tiakola - NOTRE DAME (Visualizer)","1,551,825","27,064",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
128,129,Traditional Malaysian blowpipe maker shows how he takes down his prey in the wild,"3,510,345","32,449",248,Film & Animation,2017,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
129,130,Aslay - Inauma (Official Music Video),"1,606,569","34,829",,Music,2023,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
